Date,Name,Year,Letterboxd URI,Rating,Rewatch,Review,Tags,Watched Date
2022-02-27,The Godfather,1972,https://boxd.it/2Cb3Fh,5,Yes,"Pros and cons of watching the Godfather's 50th anniversary re-release in Indian cinemas:

<b>Cons
</b>
It's apparently not the new 4k remaster, it's the digital version of the old 1972 print that was censored in India (still looks pretty good though)

The censoring. A lot of stuff involving blood or gore are cut from the movie in a very jarring way (this includes many iconic moments). Apollonia's topless scene also received the Indian censor board's scissors. (There are no anti-smoking videos and text though, maybe because this was censored in 72)

<b>Pros
</b>IT'S THE GODFATHER ON THE BIG SCREEN!!!!!!!!!!!!",,2022-02-26
2022-02-28,Columbus,2017,https://boxd.it/2Clv3v,4,,Beautiful.,,2022-02-27
2022-03-04,Bheeshma Parvam,2022,https://boxd.it/2D2NKj,4,,"The ""mass"" movie has been bogged down to certain templates and focusing on just delivering ""moments"" for quite a while. If we look at old malayalam ""mass"" movies that we know and love, our Spadikams and our New Delhis, these movies actually gave a shit about their story and their characters. For them, the main character being a badass was a part of the story being told, and not the other way around where the entire thing solely depended on just fan service. 

Bheeshma Parvam is not a perfect movie, it does have issues, Amal Neerad does indulge in too much style in places that could've worked better in a more subtle approach. But what I absolutely loved about this movie is that it actually gives a shit. It has a story, it cares about the story, it has several characters and it cares about the characters. It's focused on being a film first with actual characters than being a full on fan service vehicle revolving around a star. It takes inspirations from the right places and this is the best larger than life performance by Mammootty that I've seen in a long time. He's totally in his element and is a joy to watch here. Except for a few, I loved the performances of the majority of the ensemble cast. Loved Sushin Shyam's score too.",,2022-03-03
2022-03-04,The Batman,2022,https://boxd.it/2DaviR,4.5,,"It's a detective thriller, it's a crime drama, it's a horror film, it's an action film, it's the evolution of a rage fueled vigilante on the road to becoming a hero! It's a true Batman story!",,2022-03-04
2022-03-10,Liberal Arts,2012,https://boxd.it/2EhoKx,3,,I liked some of the dialogues.,,2022-03-10
2022-03-12,Pada,2022,https://boxd.it/2EGzoH,3,,"Gripping, cinematic and relevant.",,2022-03-12
2022-03-13,Spider-Man: No Way Home,2021,https://boxd.it/2EJCDB,4,Yes,"On watching it again from home, in 2D, on a TV screen, I had the advantage of proper brightness because the brightness sucked in 3D when I saw the movie in the cinema hall. The third act action sequences seemed a lot better now that I could actually see more clearly what was going on. The fan in me was still jumping with joy at key moments in the movie. On the second watch, I was able to turn my attention away from the plot holes and writing issues and just focus on the Spideyness of it all. I think I would regularly watch bits from this movie for a long time to come. Waiting for the extended/deleted scenes and bonus content to drop.",,2022-03-12
2022-03-13,Valimai,2022,https://boxd.it/2ERKSl,2.5,,"Action sequences in south Indian movies have hit a saturation point where the ""action"" is mostly about random slow mo shots of dudes flying and the main character posing to the camera in slow motion, almost like it's more of a photo shoot than an action scene, a lot of posing. Valimai on the contrary has some great action sequences that are actual actual action sequences and you can tell they made a lot of effort into them (well, there's a few duds too).

But the rest of the movie surrounding these action sequences is so shitty that I actually felt bad. There are sequences that seem like they belong in CS Amudhan's Thamizh Padam 3 than a movie that wants us to take it seriously. Much like Vivegam starring Ajith, which provided a lot of source material for the actual Thamizh Padam 2. The cartoonish dialogues and scenes make for some great unintentional comedy. 

Ajith's hair length and hair color changing from one scene to another is another interesting continuity brilliance in Valimai. Did he request fans to stop calling him Thala so that people won't pay attention to his ""Thala"" while watching this movie?",,2022-03-12
2022-03-13,The Adam Project,2022,https://boxd.it/2EU0Mx,3.5,,"It was fun and entertaining with likable characters, humor and some heart. Way better than Reynolds' previous Netflix movies (6 Underground and Red Notice). Yes it's not so original and echoes other better time travel films, but still though, it had some heart. It didn't feel like a corporate manufactured product like Red Notice did.

Little Adam was love.",,2022-03-13
2022-03-14,Turning Red,2022,https://boxd.it/2EWchP,4,,"""Turning Red"" at its core has the same theme that Greta Gerwig's Lady Bird had. It's about a daughter and her mother, it's about a teenager's conflict between meeting her mother's expectations and being her own person. It does all this while being a kid-friendly, funny, vibrant and fun animated film that has a big fluffy panda, with even a few anime influences stylistically. 

 It's also technically brilliant as all Pixar films are, has a great background score by Ludwig Göransson and cool songs by Billie Eilish and Finneas O'Connell.

Also check out the director Domee Shi's brilliant animated short ""Bao"" if you haven't watched it.",,2022-03-13
2022-03-18,Salute,2022,https://boxd.it/2FKkWr,3,,"You need to dial up your suspension of disbelief for this movie, because the more you think about certain stuff, the more dumb they seem. Still though, I kinda liked what they were trying to do, though they didn't quite get it right.

I'll suggest ""The Pledge"" by Sean Penn starring Jack Nicholson for a better take on something similar.",,2022-03-18
2022-03-19,Lalitham Sundaram,2022,https://boxd.it/2FZtiZ,1,,It's an achievement to make a 2 hour movie seem like eternity. Not even Biju Menon and Saiju Kurup could save it.,,2022-03-19
